session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,w3a8r8kg,1,Lottery,Introduction,1518002004,20,1,False
1,1,w3a8r8kg,2,Lottery,LotteryInstructions,1518002399,395,1,False
1,1,w3a8r8kg,3,Lottery,ResultsWaitPage,1518002407,8,1,False
1,1,w3a8r8kg,4,Lottery,LotteryQuestions,1518002415,8,1,False
1,1,w3a8r8kg,5,Lottery,ResultsWaitPage,1518002439,24,1,False
1,1,w3a8r8kg,6,Lottery,Round,1518002466,27,1,False
1,1,w3a8r8kg,13,Lottery,Round,1518002479,13,2,False
1,1,w3a8r8kg,20,Lottery,Round,1518002504,25,3,False
1,1,w3a8r8kg,21,Lottery,EndGame,1518002516,12,3,False
1,1,w3a8r8kg,22,Biosecurity,BioInstructions,1518002715,199,1,True
1,1,w3a8r8kg,23,Biosecurity,WaitforInstructions,1518002715,0,1,False
1,1,w3a8r8kg,24,Biosecurity,BioQuestions,1518002733,18,1,False
1,1,w3a8r8kg,25,Biosecurity,WaitforInstructions,1518002762,29,1,False
1,1,w3a8r8kg,35,Biosecurity,WaitforEveryone,1518002763,1,1,False
1,1,w3a8r8kg,37,Biosecurity,Round,1518002853,90,1,True
1,1,w3a8r8kg,38,Biosecurity,ResultsWaitPage,1518002854,1,1,False
1,1,w3a8r8kg,39,Biosecurity,Results,1518002916,62,1,True
1,1,w3a8r8kg,40,Biosecurity,NoPledgeResultWaitPage,1518002917,1,1,False
1,1,w3a8r8kg,58,Biosecurity,WaitforEveryone,1518002918,1,2,False
1,1,w3a8r8kg,60,Biosecurity,Round,1518002934,16,2,True
1,1,w3a8r8kg,61,Biosecurity,ResultsWaitPage,1518002934,0,2,False
1,1,w3a8r8kg,62,Biosecurity,Results,1518002983,49,2,True
1,1,w3a8r8kg,63,Biosecurity,NoPledgeResultWaitPage,1518002983,0,2,False
1,1,w3a8r8kg,81,Biosecurity,WaitforEveryone,1518002983,0,3,False
1,1,w3a8r8kg,83,Biosecurity,Round,1518002986,3,3,True
1,1,w3a8r8kg,84,Biosecurity,ResultsWaitPage,1518002986,0,3,False
1,1,w3a8r8kg,85,Biosecurity,Results,1518002988,2,3,True
1,1,w3a8r8kg,86,Biosecurity,NoPledgeResultWaitPage,1518002988,0,3,False
1,1,w3a8r8kg,104,Biosecurity,WaitforEveryone,1518002989,1,4,False
1,1,w3a8r8kg,106,Biosecurity,Round,1518002990,1,4,True
1,1,w3a8r8kg,107,Biosecurity,ResultsWaitPage,1518002990,0,4,False
1,1,w3a8r8kg,108,Biosecurity,Results,1518002992,2,4,True
1,1,w3a8r8kg,109,Biosecurity,NoPledgeResultWaitPage,1518002992,0,4,False
1,1,w3a8r8kg,127,Biosecurity,WaitforEveryone,1518002993,1,5,False
1,1,w3a8r8kg,129,Biosecurity,Round,1518002994,1,5,True
1,1,w3a8r8kg,130,Biosecurity,ResultsWaitPage,1518002995,1,5,False
1,1,w3a8r8kg,131,Biosecurity,Results,1518002995,0,5,True
1,1,w3a8r8kg,132,Biosecurity,NoPledgeResultWaitPage,1518002995,0,5,False
1,1,w3a8r8kg,150,Biosecurity,WaitforEveryone,1518002996,1,6,False
1,1,w3a8r8kg,152,Biosecurity,Round,1518002997,1,6,True
1,1,w3a8r8kg,153,Biosecurity,ResultsWaitPage,1518002997,0,6,False
1,1,w3a8r8kg,154,Biosecurity,Results,1518002998,1,6,True
1,1,w3a8r8kg,155,Biosecurity,NoPledgeResultWaitPage,1518002998,0,6,False
1,1,w3a8r8kg,173,Biosecurity,WaitforEveryone,1518002999,1,7,False
1,1,w3a8r8kg,175,Biosecurity,Round,1518003000,1,7,True
1,1,w3a8r8kg,176,Biosecurity,ResultsWaitPage,1518003001,1,7,False
1,1,w3a8r8kg,177,Biosecurity,Results,1518003002,1,7,True
1,1,w3a8r8kg,178,Biosecurity,NoPledgeResultWaitPage,1518003002,0,7,False
1,1,w3a8r8kg,196,Biosecurity,WaitforEveryone,1518003002,0,8,False
1,1,w3a8r8kg,198,Biosecurity,Round,1518003003,1,8,True
1,1,w3a8r8kg,199,Biosecurity,ResultsWaitPage,1518003003,0,8,False
1,1,w3a8r8kg,200,Biosecurity,Results,1518003004,1,8,True
1,1,w3a8r8kg,201,Biosecurity,NoPledgeResultWaitPage,1518003004,0,8,False
1,1,w3a8r8kg,219,Biosecurity,WaitforEveryone,1518003005,1,9,False
1,1,w3a8r8kg,221,Biosecurity,Round,1518003006,1,9,True
1,1,w3a8r8kg,222,Biosecurity,ResultsWaitPage,1518003006,0,9,False
1,1,w3a8r8kg,223,Biosecurity,Results,1518003007,1,9,True
1,1,w3a8r8kg,224,Biosecurity,NoPledgeResultWaitPage,1518003008,1,9,False
1,1,w3a8r8kg,242,Biosecurity,WaitforEveryone,1518003009,1,10,False
1,1,w3a8r8kg,244,Biosecurity,Round,1518003012,3,10,True
1,1,w3a8r8kg,245,Biosecurity,ResultsWaitPage,1518003012,0,10,False
1,1,w3a8r8kg,246,Biosecurity,Results,1518003014,2,10,True
1,1,w3a8r8kg,247,Biosecurity,NoPledgeResultWaitPage,1518003015,1,10,False
1,1,w3a8r8kg,265,Biosecurity,WaitforEveryone,1518003015,0,11,False
1,1,w3a8r8kg,267,Biosecurity,Round,1518003020,5,11,True
